Date,Open,High,Low,Close,Adj Close,Volume,Day
2020-01-24,95.900002,96.040001,95.160004,95.449997,84.017288,3518100,1592
2020-01-27,94.959999,95.309998,94.730003,94.989998,83.612381,3047000,1593
2020-01-28,95.150002,95.669998,94.970001,95.370003,83.946861,3006100,1594
2020-01-29,95.660004,95.779999,94.93,95.019997,83.638771,3785500,1595
2020-01-30,94.769997,95.290001,94.599998,95.089996,83.700401,4142400,1596
2020-01-31,95,95.099998,93.669998,93.93,82.679337,6370900,1597
2020-02-03,93.879997,94.949997,93.849998,94.239998,82.952202,7508200,1598
2020-02-04,94.580002,95.599998,94.32,95.209999,83.806046,4422900,1599
2020-02-05,95.389999,95.629997,95.050003,95.269997,83.858856,4413700,1600
2020-02-06,95.550003,95.870003,95.410004,95.589996,84.140526,3327500,1601
2020-02-07,95.720001,95.830002,95.32,95.57,84.122917,3176200,1602
2020-02-10,95.949997,96.660004,95.839996,96.639999,85.064743,4457000,1603
2020-02-11,96.970001,97.959999,96.970001,97.370003,85.707314,5362200,1604
2020-02-12,97.529999,98.25,97.129997,97.949997,86.217842,6298700,1605
2020-02-13,97.93,98.730003,97.75,98.540001,86.737167,3683500,1606
2020-02-14,98.769997,99.580002,98.639999,99.559998,87.634995,3004800,1607
2020-02-18,99.620003,99.690002,98.879997,99.449997,87.538155,4186800,1608
2020-02-19,99.5,99.5,98.099998,98.110001,86.358665,4415200,1609
2020-02-20,98.160004,99.330002,97.870003,99.279999,87.388535,5556500,1610
2020-02-21,99.269997,99.720001,99.029999,99.57,87.643806,3670800,1611
2020-02-24,98.389999,99.129997,97.75,98.209999,86.446686,5214600,1612
2020-02-25,98.440002,98.620003,95.290001,95.550003,84.105309,7378900,1613
2020-02-26,95.739998,96.459999,94.470001,94.519997,83.198669,9407200,1614
2020-02-27,93.099998,93.300003,89.489998,89.489998,78.771156,11869100,1615
2020-02-28,87.5,88.199997,84.660004,87.330002,76.869873,22471800,1616
2020-03-02,87.650002,91.07,87.160004,91.059998,80.153099,14250500,1617
2020-03-03,91.18,93.309998,90.099998,90.849998,79.968246,14654200,1618
2020-03-04,92.260002,94.400002,92.129997,94.279999,82.987427,10638200,1619
2020-03-05,92.720001,93.440002,91.150002,92.260002,81.209373,9803600,1620
2020-03-06,90.239998,91.010002,87.790001,90.669998,79.809807,10302700,1621
2020-03-09,86,86.529999,83.559998,83.68,73.657051,14017500,1622
2020-03-10,85.050003,86.620003,81.830002,86.540001,76.768982,11782100,1623
2020-03-11,84.650002,84.650002,80.529999,81.339996,72.156082,16447000,1624
2020-03-12,75.900002,78.529999,72.599998,73.099998,64.846466,16761500,1625
2020-03-13,77.330002,79.57,73.019997,79.480003,70.506111,10968600,1626
2020-03-16,71.879997,74.349998,65.239998,65.389999,58.006969,11396500,1627
2020-03-17,66.629997,70.5,64.440002,69.169998,61.360168,9100900,1628
2020-03-18,65.040001,67.440002,60.5,62.59,55.523117,15714500,1629
2020-03-19,61.709999,64.25,60,62.810001,55.718281,13090000,1630
2020-03-20,63.549999,65.199997,59.349998,59.68,52.941677,18838000,1631
2020-03-23,59.389999,59.5,55.580002,56.91,50.484428,15558600,1632
2020-03-24,59.610001,62.259998,58.779999,62.029999,55.02634,14401600,1633
2020-03-25,62.290001,68.769997,61.830002,65.370003,57.989235,15209300,1634
2020-03-26,65.980003,70.25,65.580002,69.980003,62.07872,14486100,1635
2020-03-27,67.790001,71.830002,67.400002,70.050003,62.140835,11521700,1636
2020-03-30,70.760002,71.830002,68.440002,71.580002,63.498074,12754300,1637
2020-03-31,71.059998,71.220001,67.949997,69.849998,61.963402,16815900,1638
2020-04-01,66.510002,66.800003,63.889999,65.260002,57.891647,12174800,1639
2020-04-02,64.32,66.839996,64.169998,65.480003,58.086815,10916700,1640
2020-04-03,64.989998,65.879997,63.27,64.529999,57.244068,8986700,1641
2020-04-06,66.809998,69.68,66.809998,69.309998,61.48436,8382200,1642
2020-04-07,71.989998,73.349998,69.919998,69.949997,62.052097,7675100,1643
2020-04-08,71,75.160004,70.099998,74.720001,66.283539,9628300,1644
2020-04-09,75.980003,79.989998,75.980003,78.910004,70.000465,13840900,1645
2020-04-13,78.410004,78.610001,75.07,75.589996,67.055313,10139000,1646
2020-04-14,77.089996,78.529999,77.089996,77.709999,68.935959,9400800,1647
2020-04-15,75.309998,76.169998,73.830002,74.629997,66.203712,8568200,1648
2020-04-16,74.769997,75.209999,73.279999,73.779999,65.449669,6252800,1649
2020-04-17,75.919998,76.510002,75.07,76.110001,67.516609,8593100,1650
2020-04-20,74.540001,74.959999,73.260002,73.279999,65.006119,6631000,1651
2020-04-21,71.360001,72.550003,70.989998,71.949997,63.82629,8620400,1652
2020-04-22,73.059998,73.660004,72.449997,73.050003,64.802109,6484200,1653
2020-04-23,73.269997,73.889999,72.190002,72.440002,64.260971,7648200,1654
2020-04-24,72.970001,73.120003,71.870003,72.75,64.53598,6419000,1655
2020-04-27,73.410004,75.510002,73.25,75.239998,66.744843,7669500,1656
2020-04-28,76.68,77.800003,75.800003,75.860001,67.294823,8177900,1657
2020-04-29,77.5,78.050003,76.68,77,68.306114,7307000,1658
